epoch,g_loss,d_loss,Dg_R,Dg_F,Dl_R,Dl_F,ACg_R,ACg_F,ACl_R,ACl_F
251,nan,nan,0.78125,0.0,0.534375,0.0,1.0,0.5,1.0,0.5
252,nan,nan,0.715625,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
253,nan,nan,0.728125,0.0,0.534375,0.0,1.0,0.5,1.0,0.5
254,nan,nan,0.771875,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
255,nan,nan,0.771875,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
256,nan,nan,0.728125,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
257,nan,nan,0.725,0.0,0.534375,0.0,1.0,0.5,1.0,0.5
258,nan,nan,0.7375,0.0,0.55,0.0,1.0,0.5,1.0,0.5
259,nan,nan,0.7625,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
260,nan,nan,0.784375,0.0,0.540625,0.0,1.0,0.5,1.0,0.5
261,nan,nan,0.75625,0.0,0.528125,0.0,1.0,0.5,1.0,0.5
262,nan,nan,0.75,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
263,nan,nan,0.721875,0.0,0.55,0.0,1.0,0.5,1.0,0.5
264,nan,nan,0.76875,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
265,nan,nan,0.75,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
266,nan,nan,0.728125,0.0,0.565625,0.0,1.0,0.5,1.0,0.5
267,nan,nan,0.70625,0.0,0.55,0.0,1.0,0.5,1.0,0.5
268,nan,nan,0.728125,0.0,0.55,0.0,1.0,0.5,1.0,0.5
269,nan,nan,0.6625,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
270,nan,nan,0.746875,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
271,nan,nan,0.7125,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
272,nan,nan,0.775,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
273,nan,nan,0.75,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
274,nan,nan,0.715625,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
275,nan,nan,0.76875,0.0,0.540625,0.0,1.0,0.5,1.0,0.5
276,nan,nan,0.696875,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
277,nan,nan,0.690625,0.0,0.55,0.0,1.0,0.5,1.0,0.5
278,nan,nan,0.728125,0.0,0.528125,0.0,1.0,0.5,1.0,0.5
279,nan,nan,0.76875,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
280,nan,nan,0.70625,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
281,nan,nan,0.73125,0.0,0.5375,0.0,1.0,0.5,1.0,0.5
282,nan,nan,0.721875,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
283,nan,nan,0.746875,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
284,nan,nan,0.75625,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
285,nan,nan,0.70625,0.0,0.53125,0.0,1.0,0.5,1.0,0.5
286,nan,nan,0.753125,0.0,0.55,0.0,1.0,0.5,1.0,0.5
287,nan,nan,0.709375,0.0,0.540625,0.0,1.0,0.5,1.0,0.5
288,nan,nan,0.76875,0.0,0.534375,0.0,1.0,0.5,1.0,0.5
289,nan,nan,0.725,0.0,0.5375,0.0,1.0,0.5,1.0,0.5
290,nan,nan,0.725,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
291,nan,nan,0.709375,0.0,0.55,0.0,1.0,0.5,1.0,0.5
292,nan,nan,0.71875,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
293,nan,nan,0.740625,0.0,0.540625,0.0,1.0,0.5,1.0,0.5
294,nan,nan,0.740625,0.0,0.55,0.0,1.0,0.5,1.0,0.5
295,nan,nan,0.75,0.0,0.540625,0.0,1.0,0.5,1.0,0.5
296,nan,nan,0.7,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
297,nan,nan,0.76875,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
298,nan,nan,0.734375,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
299,nan,nan,0.759375,0.0,0.55,0.0,1.0,0.5,1.0,0.5
300,nan,nan,0.725,0.0,0.540625,0.0,1.0,0.5,1.0,0.5
301,nan,nan,0.71875,0.0,0.571875,0.0,1.0,0.5,1.0,0.5
302,nan,nan,0.703125,0.0,0.53125,0.0,1.0,0.5,1.0,0.5
303,nan,nan,0.715625,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
304,nan,nan,0.73125,0.0,0.55,0.0,1.0,0.5,1.0,0.5
305,nan,nan,0.7375,0.0,0.534375,0.0,1.0,0.5,1.0,0.5
